Date,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,192,198,204,210,216,222,228,234,240,246,252,258,264,270,276,282,288,294,300,306,312,318,324,330,336,342,348,354,360
3/8/2024,5.51,5.34,4.92,4.630085921859628,4.467448919017958,4.339077440206962,4.23188943525159,4.150246944681424,4.092731737329736,4.056427463912504,4.038367598051584,4.035228817207859,4.042381641213266,4.05476908653819,4.067191759513555,4.075413683998619,4.079595716118334,4.0810359320957,4.0810574873001215,4.081010632613946,4.082275058191209,4.085999491194592,4.092295865034146,4.101011711567137,4.111992890868432,4.1250830275789685,4.140122943700764,4.156950074919852,4.175397861893471,4.19529511119503,4.216465323229324,4.238725986730341,4.261887841668299,4.285754114697227,4.310119733813345,4.334770531784216,4.359482451255348,4.384020768320518,4.408139355821783,4.4315800127468385,4.454071891808642,4.475331063546806,4.495060261927986,4.512948863189914,4.528673156172003,4.541896968070258,4.552272713712879,4.559442938186242,4.56304242086496,4.562700902430983,4.558046484070299,4.548709728581013,4.5343284657838545,4.514553269088228,4.489053526837816,4.457523982698275,4.419691566662909,4.375322286351224,4.32422790240139,4.2662720778784635,4.2013756757117715
3/7/2024,5.51,5.34,4.93,4.645891764828836,4.487692841928093,4.365409804829223,4.262384594428248,4.1790547809124945,4.11545987111519,4.0715267271753675,4.047177672137492,4.041307942529393,4.048597758071093,4.06254407321045,4.076466272677282,4.084911777611566,4.088035394790168,4.087443923168754,4.084776624315678,4.081706396893203,4.0799416519357035,4.080907230711706,4.084759324148246,4.0913314311038285,4.100455896592559,4.111963249384498,4.125681548190618,4.141435718150932,4.159046865234517,4.1783315604759785,4.199101089330659,4.221160664281909,4.244308601472779,4.268335464808315,4.293023183862132,4.318144155181702,4.343460340351379,4.368722378549572,4.3936687364154015,4.418024923863761,4.441502811068387,4.463800089091885,4.484599924429844,4.503570865762452,4.520367069035469,4.534628913989369,4.5459840905786475,4.554049236296187,4.558432203949492,4.55873503247215,4.554557679380489,4.5455025510893865,4.531179835432342,4.51121359897666,4.485248560679134,4.452957395003176,4.414048355295064,4.368272947098584,4.315433327685403,4.255389069746007,4.188062911213786
3/6/2024,5.5,5.35,4.95,4.676824000758062,4.538459637582415,4.415595686780671,4.302241233977755,4.21564974828148,4.155731661669337,4.117972237765377,4.0977883808734905,4.090615891452476,4.092205594094933,4.0983055536908175,4.1045448616510605,4.10737856695369,4.1070115095615645,4.10461727182545,4.101390433298935,4.098548729833373,4.097335471433494,4.09878150284273,4.1029683443218445,4.109735384057833,4.1189202885423715,4.130358435694825,4.143882339232707,4.15932105166168,4.176499537626244,4.195238012641589,4.215351244885168,4.2366478200831725,4.258929371827458,4.281989782075923,4.305614359281762,4.3295790046812055,4.35364938085856,4.377580100883005,4.4011139611394245,4.423981246479514,4.445899142483789,4.466571296356969,4.485687575102082,4.5029240768377665,4.517943457991347,4.530395645004726,4.539919003318049,4.546142037742396,4.548685695704924,4.547166336942565,4.541199418701813,4.530403923189352,4.51440752308967,4.492852441243667,4.465401912819722,4.431747104470363,4.391614288411905,4.34477201484702,4.291037979601509,4.230285251814303,4.162447515352019
3/5/2024,5.5,5.35,4.94,4.6627467822862645,4.528496039237462,4.4112593046507165,4.302698269783889,4.2191715263177,4.161279337696966,4.125607469315229,4.108693813153508,4.106719662659675,4.1145716437167135,4.126698964774267,4.137391328140305,4.142049527608105,4.141121786439816,4.136368444773808,4.129585620856568,4.1226057546331685,4.117299233864946,4.1152232672777345,4.116538894957733,4.1210529023326,4.128571630955236,4.138900125033995,4.151841301973391,4.167195120081768,4.184757725000132,4.204320562461694,4.2256694496295655,4.24858360110143,4.272834609167608,4.298185381397923,4.324389042383281,4.351187810701296,4.378311867098228,4.405478235656446,4.4323897064751705,4.4587338362199525,4.484182071809029,4.508389052425255,4.530992155744551,4.551611365358843,4.5698495471927725,4.585293232342558,4.597514010931425,4.606070644662763,4.610512002815126,4.610380915280299,4.605219014658735,4.594572605398239,4.577999550134182,4.555077101558158,4.525410533800356,4.488642344137217,4.444461709984715,4.392613806162338,4.332908523672474,4.265228094727336,4.1895331293832605
3/4/2024,5.51,5.37,4.98,4.7246523981283595,4.599104121356712,4.482791748921411,4.3728883367952776,4.290255953188016,4.235316283028467,4.2032830199992155,4.189300100066795,4.188493154630191,4.196168040542503,4.207578224609776,4.217836128231411,4.223005049854622,4.223479837293276,4.2207812403298295,4.216461084257261,4.212103714898774,4.209328133262691,4.209482410115983,4.212699010370535,4.218801209212142,4.2276112410813305,4.238949542479675,4.252634009914802,4.268479250843349,4.286295812484298,4.305889378483041,4.327059927378052,4.349600850170177,4.373298027391037,4.397928869198253,4.423261325408978,4.449052876217641,4.475049518780283,4.500984770029426,4.526578712111462,4.551537113774051,4.5755506688804015,4.598294401901448,4.619427299534351,4.63859223715386,4.655416278060187,4.669511431636986,4.680475962497077,4.687896345102738,4.691349955567103,4.690408582552541,4.684642820512064,4.673627379306788,4.656947303326575,4.634205040429773,4.605028237461362,4.569078067732857,4.526057821612195,4.475721421218992,4.41788146267017,4.352416353557809,4.27927610790646
3/1/2024,5.54,5.27,4.94,4.7592006114062,4.52733102637386,4.38082609353283,4.302493795366713,4.244612013583637,4.198880185988196,4.1669538693479335,4.150487265498448,4.149886950335269,4.160402811065023,4.175859088580403,4.18990266253676,4.197396954043953,4.198754423405848,4.195831631951963,4.190525244490706,4.184772285019189,4.180551598731608,4.179513459929929,4.181836947143802,4.187327754720416,4.1957911799558545,4.2070312080241035,4.2208496294805276,4.237045160940411,4.255412548648119,4.2757416412347204,4.297816422995426,4.321414003187574,4.34630356062895,4.372245246638062,4.398989053382385,4.426273659237712,4.453825268011835,4.481356465027675,4.508565120230168,4.535133376763767,4.5607267728717815,4.584993555400496,4.607564254394658,4.628051599801797,4.646050872446761,4.661140791180518,4.6728850450652,4.680834581896365,4.684530760193528,4.683509458714363,4.677306213231969,4.6654624127489885,4.647532535237531,4.623092336439605,4.591747826152126,4.553144779048557,4.506978438361919,4.453002990033594,4.391040323292872,4.320987562515244,4.24282286452593
2/29/2024,5.53,5.3,5.01,4.847017957233746,4.628032424700201,4.489113470736861,4.413082261929313,4.352654568554204,4.30112507789806,4.262070332086143,4.239102071226819,4.234143519759481,4.242042611229824,4.255723603915218,4.267911236236399,4.272720294118848,4.270603890005287,4.263665439879638,4.2540539005499145,4.243962938209389,4.23563179295976,4.230927047134481,4.23005423646412,4.232798158392592,4.238943967140996,4.248276118457728,4.2605773583640705,4.275627719094466,4.293203496589104,4.313076191854881,4.335011404505984,4.358767671667163,4.384095249773345,4.410734841082364,4.438416271301859,4.466857129921342,4.495761390915609,4.524818038677214,4.553699732549488,4.582061553308936,4.609539886443725,4.635751510024244,4.660292969103885,4.682740333412161,4.702649449757779,4.719556813785708,4.732981195777208,4.742426159775137,4.747383611707789,4.74733849724891,4.741774740706495,4.730182469446342,4.712066502404699,4.6869559960912355,4.654415039690951,4.614053878347413,4.5655403300084885,4.508610859306295,4.443080697038049,4.368852361349518,4.285921959546668
2/28/2024,5.5,5.31,5.0,4.827926337078781,4.628420956636337,4.4995878973002945,4.423669245310746,4.360842233098383,4.306327734084059,4.264239011910398,4.2387369340537,4.232212613755282,4.2396144351579235,4.253879237213809,4.267747826357304,4.275303672259323,4.276777598080894,4.273996963874138,4.268828807579705,4.26318038803708,4.259000806240865,4.2579166838006,4.260107491470322,4.265385037644798,4.273560446751734,4.284443296761786,4.297840782781259,4.313556879611857,4.3313914845948265,4.351139528161374,4.372590044206426,4.395525196311345,4.419719259413135,4.444937560088702,4.470935382468211,4.497456851130144,4.524233807366951,4.5509847010991145,4.577413527593155,4.603208846085449,4.62804292643475,4.651571079935657,4.673431241181802,4.693243878952558,4.710612324837982,4.725123617754656,4.736349969340026,4.743850957799367,4.747176554144872,4.7458710727213305,4.73947811523221,4.727546542209993,4.709637456750171,4.685332122281816,4.654240660860198,4.616011294833955,4.5703398091447855,4.516978832698326,4.4557464756666665,4.386533826189387,4.3093108144408365
2/27/2024,5.5,5.33,5.03,4.892620659941471,4.6887885738838175,4.557507182012754,4.483816550136588,4.422285311615326,4.367622472667154,4.324733016071303,4.29858449899152,4.2921533112535215,4.300017644188658,4.314488338095579,4.327659475389378,4.333117022081101,4.331270494777506,4.324306493514163,4.31446015246455,4.30401399429714,4.295298607358244,4.2902581655440475,4.289111987918792,4.291642473311974,4.297632473964441,4.306864205741823,4.319118205732186,4.3341722985692055,4.351800544447526,4.371772150076092,4.39385033003421,4.417791111035152,4.443342076090273,4.470241049979506,4.498214732154615,4.526977288560774,4.556228920141114,4.585654433253605,4.614921846087938,4.6436810755888125,4.671562761440073,4.698177297280992,4.723114154253949,4.745941597700032,4.766206913435456,4.783437274239821,4.797141388108006,4.806812075057154,4.81192991588788,4.811968100940112,4.806398576113491,4.794699534188496,4.776364229790797,4.750911006120573,4.71789431356795,4.676916380907237,4.627639079230272,4.569795411130118,4.503199979277461,4.427757755990358,4.3434705023335685
2/26/2024,5.5,5.34,5.03,4.87607298591457,4.678686301416146,4.545485715438913,4.463273656933708,4.3950473721042105,4.336808751194221,4.292940730049688,4.267884880684436,4.264042419360647,4.275221957559694,4.292896375741551,4.308292034247119,4.314306812897284,4.3114932279995966,4.3024020409311525,4.289642045468778,4.275876488210617,4.26382209787457,4.255745445353254,4.251915856594746,4.252097795020227,4.25605715034485,4.263559998504984,4.2743714309978476,4.288254406454728,4.304968591342373,4.324269166620187,4.345905584536691,4.369620265591667,4.395147230776786,4.42221066910502,4.450523445605858,4.479785560780369,4.509682579327556,4.539884054068866,4.570041980681072,4.599789330303938,4.628738720424774,4.656481299628634,4.682585938583683,4.706598837454123,4.728043677836524,4.746422463824063,4.761217209824498,4.771892639545605,4.777900057709061,4.778682539677748,4.773681550237985,4.762345047644567,4.74413705032295,4.7185485411891825,4.685109461611692,4.643401411084369,4.593070531935561,4.53383993738985,4.465520955312696,4.388022428248384,4.3013573483706935
